deck,ev_farmer_X,kelly_f
40012333,0.0608058608058608,0.0301139417657139
40012342,0.0673992673992675,0.0330243929352822
40012414,0.0797619047619048,0.0376651037265232
40012423,0.0695970695970697,0.0339330976818236
40012432,0.0695970695970697,0.0341182341791527
40012441,0.0797619047619048,0.038217050311939
40013044,0.0682234432234432,0.0321579357159583
40013134,0.0618131868131869,0.0297707789065986
40013143,0.0634615384615386,0.0307620211846773
40013224,0.0622710622710623,0.0302059002231888
40013233,0.056959706959707,0.028238557370007
40013242,0.0644688644688645,0.0316754659025439
40013314,0.0720695970695971,0.034471720668394
40013323,0.0608058608058608,0.0300952071270398
40013332,0.0613553113553114,0.0305759874695368
40013341,0.0737179487179488,0.035923442745309
40013404,0.0887362637362638,0.0410374471838344
40013413,0.0750000000000001,0.0361019787432001
40013422,0.0695970695970697,0.0341521222599606
40013431,0.0750000000000001,0.0365857642016642
40013440,0.0887362637362638,0.0420010961763386
40014034,0.0682234432234432,0.0321697593364716
40014043,0.0711538461538461,0.0337768804295896
40014124,0.0665750915750917,0.0316037904071415
40014133,0.0634615384615386,0.0307678059616552
40014142,0.0709706959706961,0.0341921000927588
40014214,0.0724358974358975,0.0342079215193114
40014223,0.063003663003663,0.0307500113923527
40014232,0.0644688644688645,0.0317256338897399
40014241,0.0768315018315019,0.037087734316219
40014304,0.0858058608058608,0.0397180997716629
40014313,0.0722527472527473,0.034805469969036
40014322,0.0673992673992675,0.0331323132020372
40014331,0.0737179487179488,0.0360843756933366
40014340,0.0887362637362638,0.0422169847593768
40014403,0.0887362637362638,0.0414028686446409
40014412,0.0797619047619048,0.0382332291617169
40014421,0.0797619047619048,0.0385402965792138
40014430,0.0887362637362638,0.042325669149728
40020244,0.0735347985347986,0.0343645837047019
40020334,0.0767399267399268,0.0363248716377079
40020343,0.0767399267399268,0.0364059554883934
40020424,0.0852564102564103,0.0399869049349087
40020433,0.0811355311355312,0.0385826188533099
40020442,0.0852564102564103,0.0401521732025613
40021144,0.0577838827838829,0.0273903376622993
40021234,0.0578754578754579,0.0279665012028483
40021243,0.0586080586080586,0.0284720215249576
40021324,0.0652014652014652,0.0314874862737942
40021333,0.0591575091575092,0.0291374156257362
40021342,0.065934065934066,0.0321731743694654
40021414,0.0797619047619048,0.0375844415932804
40021423,0.0695970695970697,0.0337968575195968
40021432,0.0695970695970697,0.0339897604140466
40021441,0.0797619047619048,0.0381484607451391
40022044,0.050091575091575,0.023770676795466
40022134,0.0476190476190477,0.0230392918189915
40022143,0.0498168498168499,0.0242895345866625
40022224,0.0518315018315019,0.0252363316526913
40022233,0.0458791208791208,0.022864519182069
40022242,0.0547619047619048,0.0270989423143983
40022314,0.0652014652014652,0.0312735631796562
40022323,0.0524725274725274,0.0260966610828225
40022332,0.0532051282051281,0.0266989769132146
40022341,0.0673992673992675,0.033126651426894
40022404,0.0852564102564103,0.0394626606836666
40022413,0.0695970695970697,0.0336267686605159
40022422,0.0635531135531135,0.0313797977677838
40022431,0.0695970695970697,0.0342263754081823
40022440,0.0852564102564103,0.0406877778034844
